datetime,max_temp,min_temp,temp,precip,humidity,wind_gust,wind_speed,wind_dir,visibility,cloud_cover
2022-08-31,67.57,52.45,59.99,0.08,76.53,21.07,13.76,182.85,12.86,58.99
2022-09-30,62.79,48.65,55.89,0.11,79.97,21.02,12.71,182.21,12.81,61.99
2022-10-31,57.29,46.85,52.57,0.12,83.37,28.05,17.67,196.65,11.75,62.84
2022-11-30,51.44,40.95,46.55,0.15,86.67,23.63,14.95,190.8,12.32,60.33
2022-12-31,41.58,31.65,37.03,0.12,87.32,21.86,13.13,205.48,13.38,61.63
2023-01-31,45.32,36.37,40.95,0.07,82.91,29.0,18.44,239.17,26.64,65.63
2023-02-28,48.16,38.98,44.08,0.05,80.63,26.78,17.25,218.57,23.66,78.91
2023-03-31,47.98,35.69,41.93,0.09,80.02,21.29,13.45,173.42,23.55,76.38
2023-04-30,52.47,38.49,45.86,0.04,77.86,19.67,13.1,134.51,17.47,66.25
2023-05-31,60.69,44.84,52.73,0.03,78.04,17.84,12.05,169.39,18.42,65.72
2023-06-30,66.69,51.38,59.17,0.08,76.92,20.13,13.55,125.31,16.08,54.96
2023-07-31,65.21,52.19,58.58,0.12,79.01,22.99,13.96,208.48,13.31,69.9
2023-08-31,65.76,53.3,59.51,0.05,79.72,21.07,13.24,195.02,9.23,66.96
2023-09-30,64.58,50.65,57.53,0.12,82.7,23.39,15.17,174.09,10.51,56.93
2023-10-31,55.08,44.4,49.89,0.16,84.27,25.9,16.62,155.28,10.43,66.53
2023-11-30,47.73,37.05,42.59,0.1,87.44,18.67,11.48,204.44,11.56,67.78
2023-12-31,45.95,37.46,42.02,0.11,87.54,27.61,17.34,185.18,13.0,72.97
2024-01-31,43.92,35.74,39.62,0.09,84.57,27.35,17.37,202.43,23.6,69.25
2024-02-29,48.01,38.31,43.01,0.07,84.88,27.34,17.61,210.5,20.65,71.46
2024-03-31,48.56,37.75,43.42,0.12,83.67,25.4,16.14,136.09,15.33,76.76
2024-04-30,53.32,40.64,46.91,0.14,77.1,27.32,17.62,177.83,23.66,72.84
2024-05-31,61.39,49.61,55.11,0.19,84.65,17.92,12.11,125.38,13.48,82.4
2024-06-30,62.79,48.53,55.54,0.05,74.02,22.67,14.29,241.03,15.11,67.59
